"date","favorites","id","isRetweet","retweets","text"
"1472615803000","22667","770832664303587328","False","7682","Thank you Washington! Together, WE will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #AmericaFirst https://t.co/CWDQnISYH4"
"1472610802000","45196","770811688966770689","False","16287","I have accepted the invitation of President Enrique Pena Nieto, of Mexico, and look very much forward to meeting him tomorrow."
"1472609860000","0","770807738104328192","True","1798","RT @RSBNetwork: We are ALREADY LIVE in Everett, WA for the Trump Rally. Come join us- our cameras tonight! #TrumpinEverett \n\nhttps://t.co/R…"
"1472609650000","0","770806857271091201","True","3540","RT @DRUDGE_REPORT: REUTERS POLL:  CLINTON, TRUMP ALL TIED UP... https://t.co/htCXcTA5T7"
"1472601276000","18946","770771735092142080","False","6145","Thank you North Carolina! #MAGA https://t.co/1oWrFnHe0u"
"1472590025000","17711","770724546454417408","False","6333","Thank you America! #MAGA\nhttps://t.co/FljBVvbwKr https://t.co/ePJW9jLckM"
"1472553979000","9752","770573355191631873","False","2656","""@meequalsfree: Looking forward to seeing you again! Everett to be a packed house! @realDonaldTrump  @mike_pence"""
"1472552841000","27456","770568584443539456","False","8890","From day one I said that I was going to build a great wall on the SOUTHERN BORDER, and much more. Stop illegal immigration. Watch Wednesday!"
"1472516841000","11423","770417590351040513","False","4091","Join me this Thursday in Wilmington, Ohio at noon! #ImWithYou\nTickets: https://t.co/66bfVtIwf1 https://t.co/fDAJl5wVGe"
"1472516151000","10243","770414693869649921","False","3740","Join me this Wednesday in Phoenix, Arizona at 6pm! #ImWithYou\nTickets: https://t.co/1jATILh2k7 https://t.co/VwKnxo1TNQ"
"1472513082000","16463","770401822121005056","False","6210","#MakeAmericaGreatAgain #ImWithYou https://t.co/IoYMdjvWHf"
"1472508233000","20140","770381482229657602","False","8382","We will repeal and replace the horrible disaster known as #Obamacare! https://t.co/YzRTPrqrNC"
"1472496109000","24698","770330631783972868","False","13072","#CrookedHillary https://t.co/vXhcC8PaPy"
"1472477731000","22429","770253550639251456","False","7055","Now that African-Americans are seeing what a bad job Hillary type policy and management has done to the inner-cities, they want TRUMP!"
